,season,week,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,passing_drop_pct,passing_bad_throw_pct,times_pressured_pct,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,passing_first_downs,passing_epa,rushing_yards,rushing_tds,rushing_first_downs,rushing_epa,draft_number,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,coach_pass_oe,coach_td_prob,coach_home_wp,coach_punt_attempt,coach_first_down,coach_penalty_yards,coach_total_home_epa,coach_total_home_rush_epa,coach_total_home_pass_epa,coach_3d_pct,ffpts,ffpts_target
691,2019,6,2.5261463414634147,4.96,5.935609756097562,-0.9756097560975618,7.317073170731707,40.64935177834944,-3.064390243902438,41,334,0,1,88.8719512195122,31,75.60975609756098,74.67312820074035,0.9366278968206244,18.2236337646126,40.64935177834944,0.024,0.146,0.159,1.0,334.0,0.0,17.0,-2.4698274,114.0,3.0,8.0,-7.0494375,17.0,-2.4698274,6.0,2.0,3.0,-1.8098441,199.0,42.185,22.0,9.045454545454543,,,186.35709126790368,0.3551438202460606,0.4577670159439246,3.1666666666666665,20.83333333333333,67.83333333333333,-3.232987239956856,-6.3019891281922655,-0.0805114408334096,0.4057109529773394,13.36,13.96
692,2019,6,2.5800714285714283,5.273888888888889,7.648461538461538,-2.3745726495726487,14.285714285714285,49.20247961231223,0.0715384615384615,28,177,0,1,67.11309523809526,18,64.28571428571429,66.36844101761069,-2.0827267318964005,19.998348754260498,51.69634513193365,0.077,0.154,0.2,1.0,177.0,0.0,7.0,-3.3285842,103.0,1.0,4.0,-5.6057944,7.0,-3.3285842,-1.0,0.0,0.0,-0.98064965,18.0,34.738,22.0,0.8181818181818182,,,57.09337488810221,0.3238486250241597,0.5119306693474451,6.0,15.833333333333334,39.0,-1.4871446291605632,0.0964608192443847,-6.196875890096028,0.2315018350879351,7.08,8.52
693,2019,6,2.9789166666666667,8.319999999999999,8.580294117647059,-0.2602941176470601,5.555555555555555,43.77497572814861,-1.39029411764706,36,356,4,0,144.90740740740742,30,83.33333333333334,69.37364153563976,13.95969179769358,21.363885209330903,43.77497572814861,0.0,0.059,0.175,1.0,356.0,4.0,20.0,19.520304,103.0,0.0,7.0,0.5700151,20.0,19.520304,7.0,0.0,0.0,-0.015104449,3.0,34.407,22.0,0.1363636363636363,,,134.3648478190104,0.3382465342680613,0.4620704029997189,4.333333333333333,24.83333333333333,51.0,-1.5466698010762532,1.394427130619685,-7.49115780989329,0.3588494881987571,30.24,6.36
696,2019,6,2.616294117647059,6.935,10.02529411764706,-3.0902941176470597,27.77777777777778,35.33656463212008,1.2017647058823528,18,132,1,0,106.71296296296296,12,66.66666666666666,57.22999619320035,9.436670473466307,21.74008085083266,51.09032197980357,0.0,0.235,0.368,0.36,217.0,1.0,10.0,-15.1243515,84.0,1.0,7.0,3.054056,7.0,5.168531,5.0,0.0,1.0,-1.8855587,250.0,36.884,21.0,11.904761904761903,,,163.2391815185547,0.3432878206173579,0.4353992653389771,3.6666666666666665,23.0,58.66666666666666,-3.828932762145996,-1.466779202222824,-5.82484229405721,0.3929403896133105,9.28,15.28
698,2019,6,2.5935999999999995,0.7326666666666668,5.458947368421053,-4.726280701754386,10.0,28.56829361372499,-2.856842105263158,20,132,1,1,87.91666666666667,15,75.0,67.55139291286469,7.448607087135315,19.599204239857364,40.73900465156212,0.0,0.25,0.095,1.0,132.0,1.0,7.0,2.5957851,124.0,1.0,9.0,-5.974888,7.0,2.5957851,8.0,0.0,0.0,-5.4244294,,23.502,6.0,,,,-144.67342631022134,0.3371601700782776,0.4487974618872006,3.333333333333333,20.666666666666668,48.0,-6.060957570870717,0.2686045964558919,-3.1762256622314453,0.4647561733921369,9.28,12.48
699,2019,6,2.7049375,6.432999999999998,8.907741935483871,-2.4747419354838733,21.875,38.2348335945117,-0.8987096774193555,32,227,2,0,104.55729166666669,20,62.5,60.93236221931875,1.5676377806812525,23.564786973248093,56.3353574587044,0.097,0.194,0.147,0.97,227.0,2.0,12.0,5.531931,59.0,2.0,3.0,-6.5406027,12.0,5.531931,3.0,0.0,0.0,-0.08097814,,23.598,22.0,,5.305000017086668,5.305000017086666,-87.4212277730306,0.332693283756574,0.534337597588698,5.5,18.5,57.5,4.918148040771484,0.0029528141021728,2.471135934193929,0.3032967100540797,17.08,6.32
701,2019,6,2.8663125,5.025238095238094,7.354482758620689,-2.329244663382595,9.090909090909092,30.19267792031704,-2.0248275862068974,33,236,0,0,84.91161616161617,21,63.63636363636363,61.13120705792399,2.505156578439646,18.957777055399603,42.79600098140011,0.0,0.2,0.054,1.0,236.0,0.0,11.0,6.8658376,269.0,2.0,15.0,7.6633635,11.0,6.8658376,152.0,1.0,6.0,5.631106,32.0,22.762,22.0,1.4545454545454546,,,-236.3833541870117,0.3519645631313324,0.7125124086936315,3.0,22.0,53.16666666666666,0.478104551633199,1.6199098030726116,-1.0996508200963335,0.4546229243278503,9.44,5.72
702,2019,6,2.8153,5.866153846153845,9.221249999999996,-3.3550961538461506,15.0,38.86055197755173,2.04625,40,306,2,1,94.375,26,65.0,66.21566403657198,-1.2156640365719795,22.139177725828592,55.664262323325545,0.025,0.2,0.163,0.94,306.0,2.0,15.0,3.156164,108.0,0.0,3.0,-3.891192,15.0,5.5592327,23.0,0.0,1.0,1.6677265,2.0,26.784,22.0,0.0909090909090909,,,164.89183044433594,0.3402619312206904,0.5084004874030749,4.0,23.166666666666668,48.833333333333336,-3.4456535975138345,-1.055025617281596,-6.166025757789612,0.3547979866464932,20.24,11.64
705,2019,6,2.254692307692308,6.312380952380953,7.459729729729733,-1.14734877734878,25.64102564102564,38.04411781077332,-1.8916216216216204,39,235,0,1,61.37820512820512,21,53.84615384615385,57.73272430285429,-3.88657045670044,21.873330722637,39.31320643244455,0.054,0.216,0.167,1.0,235.0,0.0,14.0,-1.2792957,33.0,1.0,2.0,-4.4780197,14.0,-1.2792957,2.0,1.0,1.0,1.3502955,35.0,31.956,22.0,1.5909090909090908,,,50.61165237426758,0.3308341900507609,0.5237889041503271,5.833333333333333,17.166666666666668,46.833333333333336,-4.082797686258952,2.885123054186503,-9.004894534746805,0.2739260792732239,9.4,15.04
706,2019,6,2.722027777777777,6.366296296296297,6.889142857142858,-0.5228465608465607,13.513513513513514,52.21035146405356,-0.9394285714285716,37,340,3,0,128.20945945945945,27,72.97297297297297,68.57407403153341,4.398898941439555,21.609891226842333,52.21035146405356,0.03,0.121,0.049,1.0,340.0,3.0,16.0,20.655579,102.0,1.0,6.0,-4.559484,16.0,20.655579,32.0,0.0,3.0,-1.2335324,1.0,22.182,6.0,0.1666666666666666,,,-192.00887807210287,0.3415728360414505,0.7150584310293198,3.0,21.0,51.333333333333336,0.288787027200063,1.4305922985076904,-1.0996508200963335,0.4534574250380198,25.6,4.16
709,2019,7,2.9393448275862064,7.962608695652176,7.336785714285715,0.6258229813664613,24.13793103448276,30.191472305934333,-1.3775,29,312,2,1,120.11494252873564,23,79.3103448275862,55.89648300203783,23.413861825548373,18.793467616482737,30.191472305934333,0.0,0.071,0.281,1.0,323.0,2.0,17.0,15.018457,97.0,1.0,5.0,-4.4668884,16.0,11.351029,7.0,0.0,1.0,-2.0458488,8.0,31.231,23.0,0.3478260869565217,,,-161.58209228515625,0.3326368331909179,0.4574527988831202,3.6666666666666665,20.0,53.16666666666666,-5.554374972979228,-2.003007411956787,-6.1286950806776685,0.4602904145916303,20.48,19.72
710,2019,7,2.688392857142857,7.516363636363635,9.459285714285713,-1.942922077922078,14.285714285714285,42.94631299657748,1.9592857142857127,28,293,2,1,119.19642857142858,22,78.57142857142857,68.99321973323822,9.57820883819035,20.700516937654907,42.94631299657748,0.0,0.143,0.069,0.89,,,,,,,,,14.0,18.080336,0.0,0.0,0.0,-6.051691,36.0,28.564,22.0,1.6363636363636365,,,,,,,,,,,,,19.72,23.4
712,2019,7,3.06465,11.084444444444443,10.0815,1.0029444444444433,15.0,51.500300969994335,0.9815,20,143,0,0,69.375,9,45.0,65.2767065167427,-20.276706516742703,21.20621671490408,51.500300969994335,0.15,0.15,0.192,1.0,143.0,0.0,5.0,0.71341026,199.0,1.0,9.0,8.043659,5.0,0.71341026,116.0,1.0,6.0,11.242383,32.0,22.782,23.0,1.391304347826087,,,-261.1692301432292,0.3296058525641759,0.6090063601732254,4.0,18.666666666666668,43.16666666666666,-0.1485734780629476,0.2544949452082316,-1.4948331514994304,0.3815628886222839,5.72,10.52
713,2019,7,2.6705769230769225,6.79875,10.5908,-3.79205,15.384615384615383,35.407168765661005,1.5508000000000006,26,202,2,0,111.37820512820514,16,61.53846153846154,62.75899908863581,-1.2205375501742708,23.75983484133266,57.42719216538451,0.08,0.24,0.167,1.0,202.0,2.0,10.0,7.955242,117.0,0.0,5.0,1.796681,10.0,7.955242,32.0,0.0,2.0,2.7668166,7.0,23.414,22.0,0.3181818181818182,,,-127.92123349507648,0.345253234108289,0.4627809673547745,2.6666666666666665,23.0,65.83333333333333,-8.945939183235168,-1.7281856834888458,-9.055338114500046,0.4854129701852798,16.08,16.08
714,2019,7,2.6705769230769225,6.79875,10.5908,-3.79205,15.384615384615383,35.407168765661005,1.5508000000000006,26,202,2,0,111.37820512820514,16,61.53846153846154,62.75899908863581,-1.2205375501742708,23.75983484133266,57.42719216538451,0.08,0.24,0.167,0.0,202.0,2.0,10.0,7.955242,117.0,0.0,5.0,1.796681,10.0,7.955242,32.0,0.0,2.0,2.7668166,7.0,23.414,22.0,0.3181818181818182,,,-127.92123349507648,0.345253234108289,0.4627809673547745,2.6666666666666665,23.0,65.83333333333333,-8.945939183235168,-1.7281856834888458,-9.055338114500046,0.4854129701852798,16.08,14.76
715,2019,7,3.378176470588235,9.3425,11.05878787878788,-1.716287878787881,11.76470588235294,47.89536198840134,3.3315151515151515,34,338,4,0,141.5441176470588,24,70.58823529411765,66.08274245963376,4.5054928344838885,23.62066760694793,47.89536198840134,0.061,0.212,0.118,1.0,338.0,4.0,19.0,25.224983,166.0,2.0,10.0,4.8062744,19.0,25.224983,-3.0,0.0,0.0,0.0,102.0,31.168,23.0,4.434782608695652,,,-23.92468325297038,0.3434065232674281,0.4717994431654612,3.1666666666666665,22.5,46.833333333333336,-6.76449453830719,-3.229963779449463,-5.172922998666763,0.4825126404563586,29.52,11.4
716,2019,7,2.716470588235294,5.385714285714284,9.286060606060603,-3.900346320346319,14.705882352941178,50.63829578490967,-1.7139393939393943,34,213,0,0,79.65686274509804,21,61.76470588235294,63.30845982712858,-1.543753944775638,23.260403169425583,50.63829578490967,0.091,0.182,0.31,0.99,213.0,0.0,8.0,-23.593502,71.0,1.0,4.0,-1.2202024,8.0,-20.40842,0.0,0.0,0.0,,18.0,34.749,23.0,0.782608695652174,7.405666608239217,7.806666692097981,-23.720435460408527,0.3288619269927342,0.3399840344985326,3.8333333333333335,20.0,56.833333333333336,-16.994361241658527,-2.9168032308419547,-16.07504065831502,0.3775264037152131,8.52,6.96
717,2019,7,2.768428571428572,6.106363636363636,7.587999999999999,-1.4816363636363628,11.428571428571429,34.845161787542324,-2.9548571428571435,35,223,1,1,78.63095238095238,22,62.85714285714285,65.71118363312313,-2.8540407759802733,19.363185438427024,42.65081007437021,0.143,0.114,0.404,1.0,223.0,1.0,14.0,-14.817203,107.0,1.0,5.0,2.2002685,14.0,-14.817203,35.0,0.0,2.0,4.37845,6.0,22.398,7.0,0.8571428571428571,,,158.7515048980713,0.3416565457979838,0.4621535986661911,3.333333333333333,23.166666666666668,60.66666666666666,-7.1279310782750445,-1.981294552485148,-8.104620506366095,0.465151531000932,12.92,28.880000000000003
719,2019,7,2.8907837837837844,5.534545454545455,9.816756756756757,-4.2822113022113015,13.513513513513514,35.02161189894035,0.9518918918918918,37,268,2,0,99.83108108108108,22,59.45945945945946,64.59093174418888,-5.131472284729419,22.350446389501283,50.40099205372846,0.027,0.297,0.081,0.95,291.0,2.0,13.0,18.372381,90.0,1.0,9.0,-8.028251,12.0,14.471648,3.0,1.0,2.0,1.1209759,1.0,25.016,23.0,0.0434782608695652,,,-109.93386332194012,0.3418701142072677,0.4353627016146977,2.6666666666666665,22.5,56.16666666666666,-11.77939267953237,0.2031644682089487,-11.790021787087122,0.4778372099002202,18.72,22.880000000000003
720,2019,7,3.1638292682926825,8.565500000000002,11.466578947368422,-2.90107894736842,19.51219512195122,46.17294554173471,3.3613157894736845,41,241,1,1,65.19308943089432,20,48.78048780487805,50.21269658534992,-1.4322087804718748,26.153073116338906,46.17294554173471,0.079,0.342,0.318,1.0,241.0,1.0,10.0,-7.155096,106.0,0.0,8.0,0.1977334,10.0,-7.155096,27.0,0.0,2.0,2.0992937,75.0,30.888,23.0,3.260869565217391,,,21.91191037495931,0.34599070250988,0.4073405464490254,3.333333333333333,22.83333333333333,57.5,-13.3444850842158,-4.80195689201355,-12.15126551191012,0.4631907468040784,13.64,15.28
721,2019,7,2.6855555555555566,3.793548387096774,5.155476190476192,-1.3619278033794182,8.88888888888889,45.65350479426525,-4.177857142857141,45,249,1,1,80.69444444444444,31,68.88888888888889,68.05288682381313,0.8360020650757605,18.65533707800424,45.65350479426525,0.071,0.119,0.178,0.94,249.0,1.0,12.0,4.3038864,74.0,3.0,8.0,-1.9451467,12.0,4.3038864,0.0,0.0,0.0,,199.0,42.215,23.0,8.652173913043478,3.24999994238218,8.815999971330166,76.78426615397136,0.3379423518975575,0.4310775871078173,5.5,16.833333333333332,48.333333333333336,-13.597503781318665,4.255936841169993,-13.243455419937767,0.3492514515916506,13.96,18.36
722,2019,7,2.6707941176470587,8.244782608695653,8.057575757575759,0.1872068511198943,14.705882352941178,47.74106199070146,0.4818181818181821,34,308,1,2,81.49509803921569,23,67.64705882352942,66.25600514166496,1.391053681864463,20.049522831377427,47.74106199070146,0.061,0.182,0.2,1.0,308.0,1.0,15.0,1.9117577,100.0,1.0,6.0,-0.44847274,15.0,1.9117577,32.0,0.0,1.0,1.330053,12.0,24.099,23.0,0.5217391304347826,,,-188.97879028320312,0.3459739089012146,0.3705141469836235,4.333333333333333,17.166666666666668,49.66666666666666,-19.419352730115254,-1.4021638830502827,-13.735016256570816,0.360795463124911,16.32,23.16
723,2019,7,2.690921052631579,8.432083333333333,11.26378378378378,-2.831700450450448,15.789473684210526,49.29227525687975,2.3448648648648645,38,329,2,0,108.33333333333331,24,63.1578947368421,61.35462228404848,1.803272452793628,24.42078995269385,49.29227525687975,0.027,0.189,0.179,1.0,329.0,2.0,19.0,14.097997,39.0,0.0,2.0,-11.621659,19.0,14.097997,0.0,0.0,0.0,,4.0,37.864,23.0,0.1739130434782608,,,65.28271484375,0.3383261213699977,0.4797325332959493,5.333333333333333,16.166666666666668,43.333333333333336,-8.579087058703104,3.209421088298162,-9.043266783157984,0.3404373501737912,21.16,12.04
725,2019,7,2.5061111111111107,3.3458823529411763,6.676078431372551,-3.330196078431374,5.555555555555555,29.05943736551002,-1.5003921568627447,54,251,2,0,86.26543209876543,34,62.96296296296296,67.73728670345413,-4.77432374049117,19.868673516571665,59.01006778508224,0.038,0.231,0.179,1.0,251.0,2.0,16.0,-2.8739347,17.0,0.0,0.0,-12.14025,16.0,-2.8739347,0.0,0.0,0.0,,2.0,25.166,22.0,0.0909090909090909,,,-273.08905029296875,0.3223067422707875,0.4845340251922607,3.6666666666666665,17.833333333333332,39.833333333333336,-2.9921741485595703,-2.243309259414673,-5.0833172996838885,0.4486353968580563,18.04,10.12
726,2019,7,2.962236842105264,6.4852173913043485,7.39138888888889,-0.9061714975845412,13.157894736842104,45.40443260299594,-1.0808333333333329,38,281,2,0,100.87719298245614,23,60.526315789473685,65.5749876248209,-5.048671835347221,20.84582958649931,45.40443260299594,0.111,0.111,0.146,0.97,,,,,,,,,14.0,10.772286,7.0,0.0,2.0,-0.71929896,32.0,26.94,23.0,1.391304347826087,,,,,,,,,,,,,19.24,14.76
727,2019,7,2.598022222222222,7.289000000000001,8.879333333333333,-1.5903333333333327,24.444444444444443,56.74259863629792,0.4348888888888894,45,364,4,1,111.71296296296296,30,66.66666666666666,63.401995334360336,3.264671332306321,21.185920989350347,56.74259863629792,0.022,0.178,0.128,1.0,364.0,4.0,21.0,12.755803,81.0,0.0,1.0,-0.78670585,21.0,12.755803,0.0,0.0,0.0,,1.0,31.699,22.0,0.0454545454545454,,,-214.6912384033203,0.3352568050225575,0.4852986981471379,3.6666666666666665,19.83333333333333,50.66666666666666,-2.702425956726074,-1.8678183555603027,-4.777403692404429,0.475441925227642,30.56,25.68
728,2019,7,2.832323529411765,7.859565217391306,10.000588235294115,-2.141023017902812,17.142857142857142,37.98071352673617,-0.1170588235294115,35,282,1,1,88.03571428571428,23,65.71428571428571,60.58555735009057,5.12872836419514,21.812178121517515,45.99939347426224,0.059,0.206,0.184,1.0,282.0,1.0,13.0,7.368036,109.0,2.0,8.0,0.9580826,13.0,9.128645,13.0,1.0,2.0,-1.0737561,250.0,36.903,22.0,11.363636363636363,,,-177.2499237060547,0.3465834110975265,0.4625628118713696,4.166666666666667,19.166666666666668,44.833333333333336,-10.731218059857689,-1.1785238881905873,-6.744114150603612,0.4202360262473424,15.28,15.6
729,2019,7,2.7349999999999994,2.8457142857142865,5.156190476190476,-2.310476190476189,23.809523809523807,24.39050839978536,-3.32,21,104,0,0,78.27380952380952,14,66.66666666666666,75.34358813649132,-8.676921469824663,17.94078221237756,55.33198080676311,0.095,0.095,0.148,1.0,104.0,0.0,8.0,4.3336096,156.0,3.0,8.0,-4.6994796,8.0,4.3336096,28.0,0.0,2.0,-3.9144268,1.0,22.201,7.0,0.1428571428571428,,,-495.3882446289063,0.3346444616715113,0.6810440570116043,3.333333333333333,19.0,51.5,9.408847093582152,1.3774659633636477,5.115616162618001,0.48206793765227,4.16,8.8
730,2019,7,2.6740000000000004,5.132000000000001,7.12,-1.9879999999999995,10.526315789473683,32.85240021672693,-1.7133333333333332,19,117,1,0,89.14473684210526,10,52.63157894736842,65.29678451387507,-12.66520556650665,20.287638276210814,48.71220380972308,0.053,0.211,0.25,0.67,193.0,2.0,7.0,2.0191104,80.0,0.0,5.0,-2.5120769,4.0,-2.9121602,-1.0,0.0,0.0,0.0,,35.187,7.0,,,,-6.9746348063151045,0.3335109402736028,0.4411974300940831,5.833333333333333,13.833333333333334,46.0,-12.54520813624064,1.069257984558741,-12.205390254656471,0.2495282565553983,8.68,18.68
732,2019,7,2.837838709677419,7.877200000000001,8.392068965517241,-0.5148689655172403,6.451612903225806,54.93627581116143,0.3231034482758624,31,429,5,0,158.33333333333331,25,80.64516129032258,68.19542881942564,12.449732470896931,24.002530021515117,54.93627581116143,0.034,0.103,0.206,0.9,429.0,5.0,15.0,31.815393,60.0,1.0,5.0,-1.6561968,15.0,31.815393,6.0,1.0,1.0,0.7994377,24.0,35.882,23.0,1.0434782608695652,,,-537.7485555013021,0.330299253265063,0.5931400805711746,3.0,19.0,45.66666666666666,4.561049620310466,2.250917832056681,0.3042707244555155,0.5160957177480062,37.16,24.200000000000003
733,2019,7,3.305923076923077,7.343125000000001,12.196,-4.852874999999999,11.538461538461538,41.23854143880455,3.196,26,191,1,1,80.76923076923076,16,61.53846153846154,58.25015501334117,3.288306525120376,24.48168374456895,60.03571020650959,0.04,0.12,0.29,1.0,191.0,1.0,9.0,-7.6121173,115.0,0.0,5.0,-7.9363785,9.0,-7.6121173,12.0,0.0,1.0,-4.8567,2.0,26.804,23.0,0.0869565217391304,,,-465.5049285888672,0.3265969504912694,0.575127492348353,4.0,17.833333333333332,45.5,-2.144919315973917,-0.6388140916824341,-1.5135425130526226,0.3397435992956161,11.64,10.88
734,2019,7,2.475418604651162,6.479545454545455,8.970476190476193,-2.4909307359307373,23.25581395348837,42.62719437166842,-0.4819047619047619,43,276,1,3,50.145348837209305,22,51.16279069767442,59.75403969371042,-8.591248996035993,22.01289409699301,42.62719437166842,0.07,0.186,0.191,1.0,276.0,1.0,12.0,-12.011282,33.0,1.0,3.0,-5.6401258,12.0,-12.011282,33.0,1.0,3.0,5.381713,35.0,31.975,23.0,1.5217391304347827,,,61.715253829956055,0.3332746277252833,0.3561530063549677,4.333333333333333,19.83333333333333,68.5,-16.96578772862752,-3.711310217777888,-16.21007490158081,0.3914152892927329,15.04,17.16
