,season,week,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,carries,rushing_yards_before_contact_avg,rushing_yards_after_contact_avg,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,rushing_first_downs,rushing_epa,ffpts,temp_week,ffpts_target
60,2018,2,4.505952380952381,38.095238095238095,3.00270588235294,21,84,4.0,0,64.87095769914369,11.129042300856312,0.5564521150428157,0.4,21.0,2.6,1.4,0.51,265.0,4.0,14.0,9.404592,108.0,0.0,6.0,-4.215866,4.0,-2.3437557,8.4,,
62,2018,3,8.193529411764706,37.5,3.3147272727272723,16,34,2.125,2,43.59859974677427,-9.59859974677427,-0.5999124841733918,0.375,16.0,0.7,1.4,0.46,169.0,0.0,9.0,-2.018507,107.0,2.0,5.0,-0.4354214,2.0,-0.99635404,15.4,,
66,2018,3,4.387343750000001,10.526315789473683,2.777,19,64,3.3684210526315788,1,57.8947999966454,6.105200003354604,0.3213263159660318,0.5789473684210527,19.0,0.4,2.9,0.55,,,,,,,,,4.0,0.59165275,12.4,3.0,13.0
67,2018,3,5.275,31.25,3.0045714285714284,16,48,3.0,0,58.1598898902212,-10.1598898902212,-0.6349931181388251,0.4375,16.0,1.3,1.7,0.36,262.0,2.0,16.0,5.894612,159.0,0.0,8.0,-1.7832443,2.0,-2.8924627,4.800000000000001,,
69,2018,3,5.018771929824561,44.44444444444444,2.7700625000000003,18,57,3.1666666666666665,0,62.60098736500951,-5.600987365009509,-0.3111659647227505,0.3888888888888889,18.0,1.2,2.0,0.52,108.0,0.0,6.0,-3.0288086,150.0,0.0,7.0,-4.7875657,1.0,-5.473337,5.7,,
70,2018,3,3.126428571428572,0.0,2.636,10,56,5.6,1,50.339271567808034,5.660728432191966,0.5660728432191966,0.6,10.0,2.8,2.8,0.35,255.0,1.0,12.0,-6.5725775,152.0,1.0,10.0,-0.23018521,4.0,3.5333352,11.6,,
72,2018,3,3.358208955223881,21.428571428571427,2.253083333333333,14,67,4.785714285714286,1,73.25252173484967,-6.252521734849665,-0.4466086953464047,0.4285714285714285,14.0,2.9,1.9,0.34,251.0,2.0,12.0,7.622985,178.0,1.0,11.0,7.0224814,6.0,3.9968722,12.7,,
77,2018,3,5.645882352941176,12.5,3.370724137931034,32,102,3.1875,1,108.15226220247244,-6.152262202472443,-0.1922581938272638,0.53125,32.0,0.7,2.5,0.74,192.0,2.0,10.0,8.012912,113.0,1.0,6.0,-7.0023494,5.0,-4.0859694,16.200000000000003,,
78,2018,3,5.636964285714285,40.0,2.6156666666666664,20,56,2.8,0,73.66140914979341,-17.661409149793414,-0.8830704574896707,0.4,20.0,0.2,2.7,0.81,196.0,1.0,6.0,3.070135,128.0,2.0,7.0,-2.635614,2.0,-7.259583,5.6000000000000005,,
80,2018,3,3.985205479452055,50.0,2.9706363636363635,14,73,5.214285714285714,0,60.33680997189251,12.663190028107492,0.9045135734362496,0.5,14.0,2.6,2.6,0.54,169.0,0.0,9.0,-2.018507,107.0,2.0,5.0,-0.4354214,3.0,0.56093264,7.300000000000001,,
82,2018,3,4.031311475409836,6.666666666666667,3.0245,15,61,4.066666666666666,0,42.6225545197385,18.3774454802615,1.2251630320174334,0.3333333333333333,15.0,1.9,2.1,0.85,353.0,3.0,16.0,12.520667,78.0,0.0,3.0,-5.4511495,2.0,-3.2853422,6.1000000000000005,,
83,2018,3,2.6519565217391308,21.428571428571427,2.759111111111112,28,184,6.571428571428571,0,115.05943346462738,68.94056653537262,2.4621630905490224,0.5357142857142857,28.0,5.0,1.6,1.0,150.0,2.0,10.0,4.083778,230.0,2.0,11.0,4.044886,7.0,3.8564985,18.4,,
84,2018,3,2.830594059405941,0.0,2.722875,16,101,6.3125,0,84.10007778002016,16.899922219979842,1.0562451387487402,0.5625,16.0,3.5,2.8,0.44,262.0,2.0,16.0,5.894612,159.0,0.0,8.0,-1.7832443,6.0,1.4406115,10.1,,
