,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,receiving_drop_pct,receiving_rat,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,passing_first_downs,passing_epa,draft_number,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,pass_oe,td_prob,home_wp,punt_attempt,first_down,penalty_yards,total_home_epa,total_home_rush_epa,total_home_pass_epa,3d_pct,ffpts,ffpts_target
23,2018,1,6.744,3.100518568030531,22.584,34.79064608559016,5,5,100.0,146.0,2,6.209999999999999,5.252075692350519,0.9579243076494804,0.0,158.3,0.3,417.0,4.0,17.0,29.170437,112.0,1.0,5.0,-3.3298376,0.0,,49.0,31.773,1,49.0,6.128333336114884,12.256666672229768,,,,,,,,,,,17.1,
24,2018,1,6.718571428571429,2.534102083293436,8.512,41.69687469383756,7,10,70.0,76.0,0,3.5057142857142845,3.0642940213781134,0.4414202643361711,0.1,92.1,0.98,153.0,0.0,6.0,-13.88566,68.0,1.0,7.0,2.6908731,0.0,,3.0,35.025,1,3.0,,,-8.68349583943685,0.3391845375299454,0.4427858193715413,4.833333333333333,18.33333333333333,59.0,-5.809605995814006,-3.869306483616432,-2.420271635055542,0.3344750354687373,11.1,4.300000000000001
25,2018,1,6.594000000000001,2.4214918124089757,1.6399999999999992,5.762878628153769,3,5,60.0,23.0,0,6.456666666666666,4.886327528621526,1.5703391380451404,0.0,71.2,0.46,161.0,0.0,9.0,-0.6709657,147.0,2.0,9.0,-4.7781477,0.0,,118.0,28.789,1,118.0,0.0,0.0,57.18887742360433,0.3159327457348506,0.4999501456816991,4.666666666666667,18.33333333333333,73.33333333333333,-10.46682874361674,-4.175688664118449,-4.595602909723918,0.3537867441773414,3.8,8.7
26,2018,1,6.38,3.747068890443936,5.552,8.0669533883529,3,5,60.0,21.0,0,3.1133333333333346,3.191806882589352,-0.0784735492560173,0.2,69.6,0.91,256.0,4.0,10.0,12.7521105,106.0,0.0,7.0,-1.2504128,0.0,,4.0,25.238,1,4.0,,,,,,,,,,,,,3.6,13.0
27,2018,1,6.338,3.5854432211091827,8.655,25.824257795017157,5,6,83.33333333333334,51.0,0,2.7900000000000005,3.3057553153788604,-0.5157553153788599,0.167,102.1,0.49,176.0,1.0,13.0,-4.2751584,137.0,0.0,4.0,-1.4565105,0.0,,110.0,24.799,1,110.0,4.186666661500931,16.746666646003725,,,,,,,,,,,7.6,10.2
28,2018,1,6.285454545454545,3.046660423841747,11.101818181818182,31.028787763294964,8,11,72.72727272727273,78.0,0,3.26125,5.83955259900754,-2.57830259900754,0.0,92.2,0.99,176.0,1.0,8.0,-9.509829,167.0,1.0,10.0,-2.3879006,0.0,,27.0,26.259,1,27.0,4.186666661500931,8.373333323001862,,,,,,,,,,,11.8,14.0
29,2018,1,6.1137500000000005,3.4091431291115297,7.63,26.832184554789706,5,10,50.0,48.0,0,3.404000000000001,2.698350559491291,0.7056494405087097,0.2,63.7,0.97,132.0,0.0,6.0,-9.232809,113.0,2.0,7.0,2.954251,0.0,,35.0,27.822,1,35.0,,,20.75572109222412,0.3208719044923782,0.568680502474308,4.75,22.75,70.5,0.7954350709915161,1.6465646922588348,9.723615646362305,0.2636844702064991,7.300000000000001,14.9
30,2018,1,6.10375,2.577525300191848,14.146250000000002,33.13715155774187,5,8,62.5,69.0,1,2.557999999999999,1.8066547658951968,0.7513452341048024,0.0,129.7,0.7,341.0,3.0,14.0,2.0231357,69.0,0.0,2.0,-3.4063265,0.0,,,24.641,1,,,,129.3543577194214,0.3214080433050791,0.487352301677068,5.0,21.166666666666668,84.5,-6.192532300949097,-0.3234202861785888,-3.0981512144207954,0.4038896933197975,9.4,9.4
31,2018,1,6.046666666666667,2.220775093181929,7.821666666666668,11.66049643451686,4,6,66.66666666666666,18.0,0,1.6024999999999985,1.2396461415698354,0.3628538584301628,0.0,70.1,0.8,251.0,0.0,9.0,-11.715434,74.0,1.0,4.0,-2.6453645,0.0,,83.0,29.04,1,83.0,0.0,,,,,,,,,,,,3.8,
32,2018,1,5.961428571428571,2.7042329630699555,14.255714285714284,38.0355237078823,5,7,71.42857142857143,38.0,0,0.9560000000000002,1.1975215024481072,-0.241521502448107,0.0,44.6,0.4,230.0,2.0,9.0,2.2100847,120.0,0.0,7.0,-3.5549972,0.0,,186.0,25.859,1,186.0,,,91.62484741210938,0.3118060827255249,0.7327462434768677,4.0,18.0,61.0,7.089271545410156,-2.7354724407196045,21.52436065673828,0.2000000029802322,6.300000000000001,
