season,week,player,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,avg_rush_yards,rush_touchdowns,expected_rush_yards,rush_yards_over_expected,rush_yards_over_expected_per_att,rush_pct_over_expected,team,opponent,carries,rushing_yards_before_contact_avg,rushing_yards_after_contact_avg,offense_pct,team_passing_yards,team_passing_tds,team_passing_first_downs,team_passing_epa,team_rushing_yards,team_rushing_tds,team_rushing_first_downs,team_rushing_epa,rushing_first_downs,rushing_epa,draft_number,age,games_played,draft_pos_decay,fpts_gained,fpts_lost,ffpts,ffpts_target
2018,1,Bilal Powell,3.8345000000000007,25.0,3.1630833333333332,12,60,5.0,0,55.594998134330204,4.405001865669796,0.3670834888058163,0.4166666666666667,NYJ,DET,12.0,3.8,1.3,0.4,198.0,2.0,10.0,7.2839,169.0,2.0,7.0,-6.0941095,3.0,-0.9661718,126.0,29.87,0,inf,,,6.0,
2018,1,Saquon Barkley,3.2628301886792466,27.77777777777778,3.0294,18,106,5.888888888888889,1,59.16591501321336,43.83408498678664,2.578475587458038,0.29411764705882354,NYG,JAX,18.0,1.1,4.8,0.77,224.0,0.0,8.0,-11.798196,114.0,1.0,3.0,-2.1723118,3.0,0.54264975,2.0,21.58,0,inf,,,16.6,2.8000000000000003
2018,1,Matt Breida,4.603478260869565,36.36363636363637,2.809333333333333,11,46,4.181818181818182,0,64.35855937497696,-18.358559374976963,-1.668959943179724,0.2727272727272727,SF,MIN,11.0,2.7,1.5,0.45,261.0,1.0,10.0,-13.54858,90.0,0.0,6.0,-8.591491,2.0,-2.276087,,23.529,0,,,,4.6000000000000005,19.8
2018,1,Todd Gurley,3.8026851851851853,0.0,3.022263157894737,20,108,5.4,0,90.92966534543275,17.070334654567247,0.8535167327283624,0.35,LA,OAK,20.0,2.3,3.1,0.94,233.0,2.0,13.0,5.476922,140.0,0.0,8.0,2.6140876,6.0,0.8951599,10.0,24.104,0,inf,,,10.8,22.2
2018,2,Marlon Mack,4.594117647058823,10.0,3.1021000000000005,10,34,3.4,0,37.176521534935375,-3.1765215349353753,-0.31765215349353754,0.5,IND,WAS,10.0,1.8,1.6,0.3,179.0,2.0,10.0,0.7386547,104.0,1.0,5.0,0.8573108,1.0,-0.98848575,143.0,22.527,1,143.0,,,3.4000000000000004,
2018,2,Lamar Miller,3.599411764705882,21.428571428571427,2.7174285714285715,14,68,4.857142857142857,0,64.80599172965913,3.1940082703408734,0.22814344788149096,0.35714285714285715,HOU,TEN,14.0,3.0,1.9,0.76,310.0,2.0,13.0,6.3754168,148.0,0.0,6.0,0.04809606,3.0,-0.65978986,97.0,27.395,1,97.0,11.308888864517211,8.589999973773956,6.800000000000001,1.0
2018,2,Malcolm Brown,4.148695652173912,75.0,2.821111111111111,12,46,3.8333333333333335,0,48.89724986376062,-2.8972498637606208,-0.2414374886467184,0.4166666666666667,LA,ARI,12.0,1.6,2.3,0.32,354.0,1.0,14.0,14.948311,90.0,3.0,8.0,-4.4487834,2.0,-0.5618074,,25.339,1,,,,4.6000000000000005,
2018,2,Jamaal Williams,3.976949152542373,0.0,2.497333333333333,16,59,3.6875,0,56.53147533954525,0.4685246604547473,0.03123497736364982,0.4666666666666667,GB,MIN,16.0,2.8,0.9,0.61,281.0,1.0,11.0,1.5708182,98.0,0.0,9.0,-1.1010215,6.0,-2.2991529,134.0,23.455,1,134.0,,,5.9,
2018,2,Isaiah Crowell,4.549142857142856,16.666666666666664,2.594333333333333,12,35,2.9166666666666665,0,48.03966777675078,-13.039667776750782,-1.0866389813958985,0.25,NYJ,MIA,12.0,0.5,2.4,0.48,334.0,1.0,17.0,-5.936916,42.0,0.0,3.0,-7.3698277,3.0,-3.422904,,25.687,1,,,,3.5,15.4
2018,2,Alfred Morris,4.705625,35.714285714285715,2.4709999999999996,14,48,3.4285714285714284,0,56.67160131546098,-8.671601315460983,-0.6194000939614988,0.5,SF,DET,14.0,1.9,1.6,0.48,206.0,2.0,13.0,4.388481,190.0,1.0,6.0,3.2210937,2.0,-3.4012132,173.0,29.76,1,173.0,,,4.800000000000001,12.7
2018,2,Jordan Wilkins,2.427540983606557,50.0,2.3529,10,61,6.1,0,46.73559716640242,14.264402833597579,1.4264402833597578,0.5,IND,WAS,10.0,3.9,2.2,0.38,179.0,2.0,10.0,0.7386547,104.0,1.0,5.0,0.8573108,2.0,1.9101114,169.0,24.164,1,169.0,,,6.1000000000000005,
2018,2,Todd Gurley,5.617380952380952,47.368421052631575,2.9130000000000003,19,42,2.210526315789474,3,46.82291540415383,-4.822915404153832,-0.2538376528502017,0.3684210526315789,LA,ARI,19.0,0.5,1.7,0.68,354.0,1.0,14.0,14.948311,90.0,3.0,8.0,-4.4487834,5.0,-0.27885118,10.0,24.12,1,10.0,,,22.2,16.5
2018,2,T.J. Yeldon,3.0013793103448276,20.0,2.624222222222222,10,58,5.8,0,30.202428744954556,27.797571255045444,2.7797571255045446,0.6,JAX,NE,10.0,3.4,2.4,0.58,376.0,4.0,22.0,19.470377,104.0,0.0,5.0,-1.4851034,2.0,-0.27549693,36.0,24.956,1,36.0,,,5.800000000000001,
2018,2,Kenyan Drake,4.000943396226416,0.0,2.5291111111111113,11,53,4.818181818181818,1,48.80822517893279,4.191774821067213,0.3810704382788375,0.36363636363636365,MIA,NYJ,11.0,0.9,3.9,0.6,168.0,2.0,9.0,-5.6374125,135.0,1.0,6.0,-5.4658647,3.0,1.4296526,73.0,24.638,1,73.0,,,11.3,
2018,2,Sony Michel,4.667941176470588,0.0,2.6430000000000002,10,34,3.4,0,35.46360901276701,-1.4636090127670087,-0.14636090127670087,0.3,NE,JAX,10.0,1.9,1.5,0.21,234.0,2.0,12.0,4.9456067,82.0,0.0,5.0,-4.1394954,1.0,-3.8574827,31.0,23.578,1,31.0,8.48166664838791,8.589999973773956,3.4000000000000004,5.0
2018,2,Derrick Henry,5.180178571428572,27.77777777777778,2.970529411764705,18,56,3.111111111111111,0,64.41502993338571,-8.41502993338571,-0.4675016629658728,0.4444444444444444,TEN,HOU,18.0,0.7,2.4,0.42,191.0,2.0,7.0,7.565305,100.0,0.0,7.0,-5.61053,4.0,-2.805296,45.0,24.698,1,45.0,1.8483333428700768,7.393333371480306,5.6000000000000005,5.7
2018,2,Kareem Hunt,3.258666666666667,27.77777777777778,2.4269375000000006,18,75,4.166666666666667,0,84.89775941959917,-9.897759419599168,-0.5498755233110649,0.3888888888888889,KC,PIT,18.0,2.3,1.8,0.69,326.0,6.0,17.0,28.596642,127.0,0.0,4.0,1.811914,2.0,-0.82378507,86.0,23.113,1,86.0,,,7.5,16.4
2018,2,Carlos Hyde,5.133488372093021,31.25,2.7580625000000003,16,43,2.6875,1,54.194486076953055,-11.194486076953055,-0.6996553798095659,0.375,CLE,NO,16.0,-0.4,3.1,0.58,246.0,1.0,10.0,-0.6375168,93.0,1.0,4.0,-5.163996,2.0,-2.6839418,57.0,27.989,1,57.0,,,10.3,21.8
2018,2,Jordan Howard,6.091428571428572,0.0,2.620833333333333,14,35,2.5,0,46.48420567326491,-15.48420567326491,-1.1910927440973007,0.38461538461538464,CHI,SEA,14.0,1.9,0.6,0.73,200.0,2.0,11.0,-2.053941,86.0,0.0,7.0,-3.9365253,4.0,-3.1092896,150.0,23.874,1,150.0,,,3.5,12.100000000000001
2018,2,Marshawn Lynch,5.188307692307693,44.44444444444444,2.9086470588235294,18,65,3.611111111111111,1,60.28428487518114,-6.284284875181143,-0.36966381618712607,0.5294117647058824,OAK,DEN,18.0,-0.4,4.0,0.65,,,,,,,,,3.0,-1.0922759,12.0,32.402,1,12.0,,,12.5,12.4
2018,2,Dalvin Cook,4.657631578947369,20.0,2.8087999999999997,10,38,3.8,0,31.014118135298805,6.985881864701195,0.6985881864701196,0.6,MIN,GB,10.0,2.4,1.4,0.68,425.0,4.0,20.0,14.962537,68.0,0.0,3.0,-2.581552,1.0,-0.9296368,41.0,23.102,1,41.0,,,3.8000000000000003,
2018,2,Peyton Barber,9.026363636363635,31.25,2.5966153846153848,16,22,1.375,0,71.28541232018084,-53.28541232018084,-3.552360821345389,0.13333333333333333,TB,PHI,16.0,0.4,1.0,0.62,402.0,4.0,17.0,19.270699,43.0,0.0,1.0,-7.5159564,0.0,-8.479705,,24.55,1,,6.143333329757055,12.28666665951411,2.2,
2018,2,Tevin Coleman,3.3536448598130844,25.0,2.685071428571429,16,107,6.6875,0,79.69199039497727,27.308009605022733,1.7067506003139208,0.3125,ATL,CAR,16.0,4.3,2.4,0.63,272.0,2.0,12.0,13.1881895,170.0,2.0,10.0,-0.20264117,3.0,0.04066986,73.0,25.418,1,73.0,,,10.700000000000001,3.3000000000000003
