season,week,team,fpts_gained,fpts_lost
2019,1,HOU,22.944666601220767,6.578333363930384
2019,1,IND,20.95633323689302,9.22666666706403
2019,1,JAX,18.50299997515976,15.913333280012012
2019,1,KC,23.564666592453914,17.031666636591158
2019,1,LA,12.178333262105781,15.501666601623098
2019,1,LAC,11.073333282768726,15.15033327738444
2019,1,MIA,11.264999936645228,20.33266669139266
2019,1,MIN,6.203333319351075,21.412666685630878
2019,1,NE,8.510000006978709,24.19200002849102
2019,1,NO,13.546666710202892,25.471666744475563
2019,1,NYG,8.643333386878172,15.714333406835793
2019,1,NYJ,20.06666673446695,11.49766671632727
2019,1,OAK,24.413666701937714,12.20166672753791
2019,1,PHI,23.11033336979647,10.23166667111218
2019,1,PIT,26.020333358148733,11.106666667138537
2019,1,SEA,14.597000010559956,13.688999993478259
2019,1,SF,12.264999997491637,8.293999999761581
2019,1,TB,10.43333331135412,13.10566673030456
2019,1,TEN,9.82166665866971,12.419000079731147
2019,1,WAS,12.780000009884436,13.651666733125847
2019,2,BAL,8.458333367854356,18.20222231083446
2019,2,CHI,5.256666686882575,12.230000029007595
2019,2,CIN,2.9583333512147267,15.259999918937684
2019,2,IND,0.0,0.0
2019,2,JAX,0.0,0.0
2019,2,LAC,0.0,0.0
2019,2,NE,1.7416666587193808,3.2766666531562807
2019,2,NYJ,4.954999991257986,6.42666666507721
2019,2,SF,6.938333332538605,6.928888898425632
2019,2,TB,8.51333333849907,6.771666679779688
2019,2,WAS,8.755000021060308,7.116666694482168
2019,3,ATL,5.541666688521703,7.388888918028937
2019,3,DET,3.558333347241084,4.744444462988112
2019,3,GB,1.9833333412806193,2.644444455040826
2019,3,IND,0.0,0.0
2019,3,LAC,2.091666668653488,0.0
2019,3,NO,2.091666668653488,0.0
2019,3,NYG,2.091666668653488,0.0
2019,3,NYJ,3.440000001589457,2.696666665871938
2019,3,OAK,1.348333332935969,1.7977777772479586
2019,3,PIT,1.348333332935969,1.7977777772479586
2019,3,SF,3.5533333440621693,4.737777792082892
2019,3,TB,3.5533333440621693,4.737777792082892
2019,3,WAS,5.75833335518837,7.677777806917827
2019,4,BUF,5.75833335518837,7.677777806917827
2019,4,MIA,3.5533333440621693,7.1066666881243385
2019,4,NE,2.2050000111262005,8.820000044504802
2019,4,PIT,1.218333334972461,
2019,4,SEA,3.511666664729516,4.873333339889844
2019,4,TB,3.5116666647295154,4.873333339889844
2019,4,WAS,5.651666682213545,4.873333339889844
2019,5,ARI,7.195000026623408,4.873333339889844
2019,5,CAR,4.901666696866353,
2019,5,CIN,4.901666696866353,11.046666717529297
2019,5,NYJ,4.701666685938834,11.046666717529297
2019,5,PIT,1.9400000065565104,11.046666717529297
2019,5,SF,3.931666681170463,11.046666717529297
2019,6,DET,3.931666681170463,0.0
2019,6,GB,1.9916666746139522,0.0
2019,6,HOU,1.9916666746139522,0.0
2019,6,NYJ,1.2100000043710069,1.6133333391613431
2019,6,PHI,1.2100000043710069,2.4200000087420146
2019,6,SF,3.1616666773955022,4.21555556986067
2019,6,TB,4.371666681766509,5.828888909022013
2019,6,TEN,3.161666677395502,6.323333354791005
2019,6,WAS,5.113333350419998,6.817777800559997
2019,7,BUF,3.1616666773955022,4.21555556986067
2019,7,DET,1.951666673024495,6.9666667355431455
2019,7,GB,1.951666673024495,5.225000051657359
2019,7,IND,0.0,4.364444504843818
2019,7,NE,3.288333275665839,6.5466667572657276
2019,7,NO,6.561666654298703,0.0
2019,7,NYG,6.561666654298703,6.576666551331678
2019,7,OAK,6.561666654298703,4.384444367554452
2019,7,PHI,3.273333378632863,4.384444367554452
2019,7,SF,0.0,4.384444367554452
2019,7,WAS,0.0,0.0
2019,8,ARI,2.860000038146972,0.0
2019,8,CAR,2.860000038146972,0.0
2019,8,LAC,2.860000038146972,0.0
2019,8,NE,5.0073333706706755,0.0
2019,8,NO,2.147333332523703,5.720000076293944
2019,8,NYJ,3.4640000071376553,5.5688889503479
2019,8,PIT,3.4640000071376553,5.5688889503479
2019,8,SEA,1.3166666746139521,8.35333342552185
2019,8,SF,4.526666623353957,2.6333333492279043
2019,8,TB,4.526666623353957,2.6333333492279043
2019,8,WAS,4.526666623353957,1.7555555661519362
2019,9,ARI,6.259999974568684,1.7555555661519362
2019,9,CAR,3.0500000258286786,2.6333333492279043
2019,9,NYJ,2.950000025828679,2.4333333492279046
2019,9,PHI,2.950000025828679,4.866666698455811
2019,9,PIT,1.2166666746139518,4.866666698455811
2019,9,SEA,1.2166666746139518,4.866666698455811
2019,9,SF,0.0,0.0
2019,9,TB,1.2166666746139518,2.4333333492279046
2019,9,WAS,1.2166666746139518,1.6222222328186031
2019,10,BAL,1.2166666746139518,1.2166666746139523
